timestamp,OAT,Electricity:Facility [kWh](TimeStep),HVAC_Elec
2023/ 01/02  19:00:00,23,2.104611476,1.570078195
2023/ 01/02  19:15:00,23.27,2.093368914,1.564245039
2023/ 01/02  19:30:00,23.54,2.089625322,1.55982215
2023/ 01/02  19:45:00,23.81,2.090351457,1.559896902
2023/ 01/02  20:00:00,24.08,2.109293395,1.578209616
2023/ 01/02  20:15:00,24.08,2.12137692,1.594690161
2023/ 01/02  20:30:00,24.08,2.142277576,1.614960705
2023/ 01/02  20:45:00,24.08,1.998809092,1.52236609
2023/ 01/02  21:00:00,24.08,1.812664275,1.400397531
2023/ 01/02  21:15:00,24.08,1.77625778,1.397122631
2023/ 01/02  21:30:00,24.08,1.770290867,1.391155717
2023/ 01/02  21:45:00,24.08,1.761429812,1.382294663
2023/ 01/02  22:00:00,24.08,1.751643703,1.372508553
2023/ 01/02  22:15:00,24.08,1.692652253,1.388080611
2023/ 01/02  22:30:00,24.08,1.693485092,1.38891345
2023/ 01/02  22:45:00,24.08,1.689775232,1.38520359
2023/ 01/02  23:00:00,24.08,1.682481089,1.377909446
2023/ 01/02  23:15:00,24.305,1.668872766,1.430215241
2023/ 01/02  23:30:00,24.53,2.096921966,1.746748515
2023/ 01/02  23:45:00,24.755,2.097929945,1.746748515
2023/ 01/02  24:00:00,24.98,2.098864863,1.746748515
2023/ 01/03  00:15:00,24.98,2.04832888,1.746748515
2023/ 01/03  00:30:00,24.98,1.981029118,1.745192417
2023/ 01/03  00:45:00,24.98,1.901950698,1.714819381
2023/ 01/03  01:00:00,24.98,1.888867923,1.701736606
2023/ 01/03  01:15:00,25.475,1.861075916,1.689142961
2023/ 01/03  01:30:00,25.97,1.811570845,1.63963789
2023/ 01/03  01:45:00,26.465,1.767063591,1.595130636
2023/ 01/03  02:00:00,26.96,1.724064103,1.552131148
2023/ 01/03  02:15:00,27.725,1.670821376,1.504019366
2023/ 01/03  02:30:00,28.49,1.620129905,1.453327894
2023/ 01/03  02:45:00,29.255,1.58178292,1.41498091
2023/ 01/03  03:00:00,30.02,1.544301306,1.377499296
2023/ 01/03  03:15:00,31.505,1.517734904,1.354742597
2023/ 01/03  03:30:00,32.99,1.533649178,1.370656871
2023/ 01/03  03:45:00,34.475,1.532913897,1.36992159
2023/ 01/03  04:00:00,35.96,1.531948964,1.368956657
2023/ 01/03  04:15:00,36.725,1.522780494,1.34981832
2023/ 01/03  04:30:00,37.49,1.499906309,1.326944135
2023/ 01/03  04:45:00,38.255,1.485734539,1.312772365
2023/ 01/03  05:00:00,39.02,1.475520733,1.302558559
2023/ 01/03  05:15:00,39.065,1.477799088,1.267807444
2023/ 01/03  05:30:00,39.11,1.451576141,1.241584497
2023/ 01/03  05:45:00,39.155,1.427308152,1.217316508
2023/ 01/03  06:00:00,39.2,1.408712976,1.198721332
2023/ 01/03  06:15:00,39.92,1.411475397,1.171997143
2023/ 01/03  06:30:00,40.64,1.389584312,1.150106058
2023/ 01/03  06:45:00,41.36,1.586725074,1.289708104
2023/ 01/03  07:00:00,42.08,1.793602564,1.438114963
2023/ 01/03  07:15:00,43.07,1.80596863,1.42220849
2023/ 01/03  07:30:00,44.06,1.780334777,1.395459059
2023/ 01/03  07:45:00,45.05,1.749505644,1.363497556
2023/ 01/03  08:00:00,46.04,1.713819834,1.32665914
