,pred,actual,mape,,,,
422,35.610928,21.15564932,0.683282203,,,,
423,40.17922,21.15564932,0.899219418,,,,
424,42.319534,21.15564932,1.000389275,,,,
425,41.956635,21.15564932,0.983235511,,,,
426,28.074854,21.15564932,0.327061797,,,,
427,31.992641,12.28902954,1.603349671,,,,
428,33.01271,12.28902954,1.686356144,,,,
429,37.33037,5.050105485,6.39199807,,,,
430,39.074085,5.050105485,6.737280957,,,,
431,39.098206,0.883438819,43.25683497,,,,
432,19.47683,0.883438819,21.04660876,,,,
433,22.703482,0.883438819,24.69898619,,,,
434,23.235556,0.883438819,25.30126219,,,,
435,26.385273,0.883438819,28.86655379,,,,
436,27.61365,0.883438819,30.25700322,,,,
437,28.528734,0.883438819,31.29282368,,,,
438,4.9298253,0.883438819,4.580267921,,,,
439,8.650291,0.883438819,8.791612976,,,,
440,8.949962,0.883438819,9.130822657,,,,
441,13.374489,0.883438819,14.13912307,,,,
442,13.952953,0.883438819,14.79390978,,,,
443,15.149266,0.883438819,16.14806468,,,,
444,3.2273204,0.883438819,2.653134017,,,,
445,7.0387373,0.883438819,6.9674304,,,,
446,7.3125677,0.883438819,7.277390065,,,,
447,11.869006,0.883438819,12.43500619,,,,
448,12.430379,0.883438819,13.07044691,,,,
449,13.601325,0.883438819,14.39588788,,,,
450,0.8709688,0.883438819,0.014115317,,,,
451,4.7418885,0.883438819,4.367534684,,,,
452,4.9813137,0.883438819,4.638549716,,,,
453,9.661258,0.883438819,9.935967264,,,,
454,10.242079,0.883438819,10.59342196,,,,
455,11.421309,0.883438819,11.92823992,,,,
456,4.8394504,0.883438819,4.47796893,,,,
457,8.574874,0.883438819,8.706245435,,,,
458,8.862828,0.883438819,9.032192171,,,,
459,13.300641,0.883438819,14.05553154,,,,
460,13.887833,0.883438819,14.72019783,,,,
461,15.052264,0.883438819,16.0382642,,,,
462,6.0220785,0.883438819,5.816633334,,,,
463,9.674945,0.883438819,9.951460131,,,,
464,9.968681,0.883438819,10.28395175,,,,
465,14.315366,0.883438819,15.20413966,,,,
466,14.90577,0.883438819,15.87244174,,,,
467,16.105253,0.883438819,17.23018489,,,,
468,4.752626,0.883438819,4.379688893,,,,
469,8.460917,0.883438819,8.577252914,,,,
470,8.714421,0.883438819,8.864204307,,,,
471,13.170401,0.883438819,13.90810764,,,,
472,13.696924,0.883438819,14.50410024,,,,
473,14.912283,0.883438819,15.87981407,,,,
474,3.8733654,0.883438819,3.384418387,,,,
475,7.6484284,0.883438819,7.657564326,,,,
476,7.909543,0.883438819,7.953130464,,,,
477,12.423637,0.883438819,13.06281537,,,,
478,12.980838,0.883438819,13.69353364,,,,
479,14.154709,0.883438819,15.02228553,,,,
480,5.9762096,0.883438819,5.764712478,,,,
481,9.6310005,0.883438819,9.90171758,,,,
482,9.923082,0.883438819,10.2323364,,,,
483,14.274236,0.883438819,15.15758296,,,,
484,14.862089,0.883438819,15.82299746,,,,
485,16.062273,0.883438819,17.18153409,,,,
486,3.3671727,0.883438819,2.811438471,,,,
487,7.1489472,0.883438819,7.092181427,,,,
488,7.416756,0.883438819,7.395325,,,,
489,11.965021,55.02136752,0.782538647,,,,
490,12.49177,151.5491453,0.917572811,,,,
491,13.697122,197.6602564,0.930703712,,,,
492,221.88489,197.6602564,0.122556927,,,,
493,216.47635,177.8942308,0.216882352,,,,
494,211.64821,177.8942308,0.189741843,,,,
495,205.22615,161.722028,0.269005543,,,,
496,201.9576,148.2451923,0.362321414,,,,
497,199.89194,148.2451923,0.348387337,,,,
